City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Ierapetra,GR,71.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
457,Humaita,BR,76.75,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
460,Jieshi,CN,83.05,few clouds,22.8134,115.8257,Yuehai Hotel
461,Esmeraldas,BR,70.66,clear sky,-19.7625,-44.3139,Forasteiro Pousada
463,Bandarbeyla,SO,87.42,broken clouds,9.4942,50.8122,JABIR HOTEL
465,Ikalamavony,MG,86.52,clear sky,-21.15,46.5833, 
466,Ejura,GH,71.47,moderate rain,7.3856,-1.3562,Samfrimps lodge
469,Maridi,SS,75.99,few clouds,4.9158,29.4742, 
471,Mabaruma,GY,72.32,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
476,Yilan,TW,82.26,overcast clouds,24.757,121.753,Dar Chen Hotel
477,Akyab,MM,86.58,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
479,Bumba,CD,75.49,overcast clouds,2.1833,22.4667,Père Carlos
481,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
485,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
486,Weligama,LK,82.11,overcast clouds,5.9667,80.4167,Weligama Bay Resort
488,Sembe,CG,74.07,overcast clouds,1.6481,14.5806, 
495,Ciudad Guayana,VE,76.51,overcast clouds,8.3533,-62.6528,Hotel Las Americas
497,Cravo Norte,CO,77.49,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
500,Grand-Santi,GF,70.18,few clouds,4.25,-54.3833,Hotel La Villa Couacou
501,San Patricio,US,76.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
502,Pereira Barreto,BR,72.25,few clouds,-20.6383,-51.1092,Hotel Pousada Pantal
504,Cockburn Town,TC,82.74,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
505,Ombessa,CM,70.5,overcast clouds,4.603,11.2565,Hotel Elma**
510,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Alize Plage
511,Adrar,MR,81.88,clear sky,20.5022,-10.0711, 
515,Ternate,ID,84.94,light rain,0.8,127.4,Sahid Bela Ternate Hotel
518,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
522,Baglan,AF,76.17,clear sky,36.1307,68.7083,Habibullah MOsazai
527,Tessalit,ML,86.54,scattered clouds,20.1986,1.0114, 
536,Tadine,NC,71.76,overcast clouds,-21.55,167.8833, 
539,Bodinayakkanur,IN,83.95,overcast clouds,10.0167,77.35,M.V. Lodge
540,Ahvaz,IR,87.75,clear sky,31.3203,48.6693,tashrifat tourism travel agency
541,Wewak,PG,83.37,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
544,Puro,PH,85.3,overcast clouds,12.4841,123.3827, 
546,Kirakira,SB,79.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
547,Chateaubelair,VC,77.99,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
550,Sokolo,ML,81.37,broken clouds,14.7328,-6.1219, 
551,Honiara,SB,81.3,broken clouds,-9.4333,159.95,Heritage Park Hotel
552,Damara,CF,74.23,overcast clouds,4.9608,18.7035, 
557,Ranong,TH,84.13,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
558,Terra Santa,BR,76.78,clear sky,-2.1042,-56.4869,Hotel Sarah
569,Marand,IR,78.58,clear sky,38.4329,45.7749,کوچه صفا
571,Dwarka,IN,84.78,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
572,Gambiran,ID,85.12,overcast clouds,-6.7988,111.4951,GUBUK KU
573,Shillong,IN,70.57,overcast clouds,25.5689,91.8831,Cafe Shillong Bed and Breakfast
575,Labuhan,ID,86.0,light rain,-6.8844,112.2051,DoubleFAG
577,Fomboni,KM,75.99,clear sky,-12.28,43.7425,Auberge les abou
579,Dicabisagan,PH,84.9,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
581,Bachaquero,VE,78.35,overcast clouds,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
582,Pozo Colorado,PY,70.21,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
583,Canutama,BR,76.28,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
584,Takab,IR,73.65,clear sky,36.4009,47.1133,نانوایی جواد
586,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
589,Chimala,TZ,79.48,few clouds,-8.85,34.0167,Pangani Guest House
591,Dapaong,TG,76.35,scattered clouds,10.8639,0.205,Hotel Caroli
593,Raichur,IN,75.18,light rain,16.2,77.3667,Hotel CM Residency
598,Warri,NG,76.73,light rain,5.5167,5.75,GT Guesthouse
599,Aguilas,ES,70.83,overcast clouds,37.4063,-1.5829,Hotel Carlos III
600,Seagoville,US,73.76,clear sky,32.6396,-96.5383,Seagoville Inn Seagoville
601,Tura,IN,84.33,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
605,Jiblah,YE,72.41,broken clouds,13.9216,44.1467,Tiger Tower Hotel
606,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
608,Sao Joao Da Barra,BR,70.38,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
609,Sambava,MG,75.99,scattered clouds,-14.2667,50.1667,Melrose
613,Phan Thiet,VN,85.21,light rain,10.9333,108.1,Hotel Saigon-PT
616,Pedernales,DO,81.01,overcast clouds,18.0384,-71.744,Hotel Costa Marina
617,Xichang,CN,72.28,broken clouds,27.8964,102.2634,Xichang ibis Hotel
618,Hobyo,SO,82.38,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
620,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
621,Ruteng,ID,70.02,overcast clouds,-8.6136,120.4721,Hotel FX 72
627,Tera,NE,84.87,overcast clouds,14.0078,0.7531,Hotel Daressalam Téra
629,Surt,LY,75.24,light rain,31.2089,16.5887,فندق المدينة
632,Lufilufi,WS,80.38,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
633,Gasa,PS,80.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
637,Conceicao Do Araguaia,BR,78.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
638,Banda Aceh,ID,83.37,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
