City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Vikulovo,RU,56.8167,70.6107,55.74,32,100,7.49,overcast clouds
322,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
323,Mawlaik,MM,23.6333,94.4167,93.31,50,61,0.96,broken clouds
324,Saint Anthony,US,45.0205,-93.218,60.42,90,75,3.44,broken clouds
325,Itarema,BR,-2.9248,-39.9167,77.83,78,14,15.86,few clouds
326,Florence,IT,43.7667,11.25,64.09,95,0,1.14,clear sky
327,Dalvik,IS,65.9702,-18.5286,39.13,96,100,7.36,overcast clouds
328,Codrington,AU,-38.2667,141.9667,60.53,92,99,10.67,overcast clouds
329,Fecamp,FR,49.7579,0.3746,58.08,70,0,9.53,clear sky
330,Ginda,IN,30.6945,78.4932,74.3,52,0,5.93,clear sky
331,Voskresenskoye,RU,56.8381,45.4317,45.82,87,100,7.05,overcast clouds
332,Aguining,PH,10.0861,124.5944,85.57,71,86,4.54,overcast clouds
333,Lovozero,RU,68.005,35.0117,42.33,94,100,18.5,overcast clouds
334,Maningrida,AU,-12.0667,134.2667,87.31,62,10,12.53,clear sky
335,Bure,ET,10.7,37.0667,64.44,73,100,2.71,light rain
336,Volosovo,RU,59.4333,29.4833,50.41,91,100,11.95,overcast clouds
337,Sabang,ID,5.8933,95.3214,80.85,78,62,21.25,broken clouds
338,Anchorage,US,61.2181,-149.9003,60.85,63,0,12.66,clear sky
339,Turbat,PK,26.0023,63.044,93.9,8,0,6.67,clear sky
340,Churapcha,RU,62.0025,132.4325,28.36,71,100,4.23,overcast clouds
341,Maralal,KE,1.0968,36.698,67.87,57,100,8.84,overcast clouds
342,Kamsack,CA,51.5667,-101.9009,29.5,66,6,5.82,clear sky
343,Roseburg,US,43.2165,-123.3417,59.5,91,0,0.0,clear sky
344,Yangjiang,CN,21.85,111.9667,84.43,71,12,7.9,few clouds
345,Robinson,US,31.4677,-97.1147,68.58,52,0,3.44,clear sky
346,Mildura,AU,-34.2,142.15,75.07,65,66,11.92,light rain
347,Bonthe,SL,7.5264,-12.505,76.53,90,99,1.5,light rain
348,Poum,NC,-20.2333,164.0167,74.34,67,100,13.0,overcast clouds
